alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Airfoil,CL/CD
-5.0,-0.0704,0.00891,0.00295,-0.1022,0.7404,0.1372,airfoil_0001,-7.901234567901236
-4.0,0.0408,0.00862,0.00259,-0.1012,0.6983,0.1671,airfoil_0001,4.733178654292344
-3.0,0.1518,0.00838,0.00235,-0.1002,0.6548,0.2081,airfoil_0001,18.114558472553696
-2.0,0.2626,0.00829,0.00225,-0.0993,0.6118,0.2542,airfoil_0001,31.676718938480093
-1.0,0.373,0.00827,0.00225,-0.0984,0.5739,0.311,airfoil_0001,45.102781136638455
0.0,0.483,0.00828,0.00233,-0.0974,0.5402,0.3792,airfoil_0001,58.333333333333336
1.0,0.5908,0.00804,0.00253,-0.0962,0.5104,0.5515,airfoil_0001,73.48258706467661
2.0,0.6974,0.00803,0.00285,-0.0947,0.483,0.7018,airfoil_0001,86.84931506849314
3.0,0.7967,0.00803,0.00333,-0.0912,0.4589,0.8891,airfoil_0001,99.2154420921544
4.0,0.9176,0.0085,0.00386,-0.0923,0.4335,0.9878,airfoil_0001,107.95294117647057
5.0,1.0342,0.00912,0.00435,-0.0933,0.4073,0.9998,airfoil_0001,113.39912280701755
6.0,1.1163,0.00975,0.00489,-0.0871,0.3789,0.9998,airfoil_0001,114.4923076923077
7.0,1.2026,0.0107,0.00571,-0.0822,0.3455,0.9998,airfoil_0001,112.39252336448598
8.0,1.2862,0.01197,0.00685,-0.0773,0.3065,0.9998,airfoil_0001,107.45196324143693
9.0,1.3599,0.01382,0.0085,-0.0714,0.2615,0.9998,airfoil_0001,98.40086830680174
10.0,1.4279,0.0161,0.01066,-0.0653,0.222,0.9998,airfoil_0001,88.68944099378882
11.0,1.4841,0.01924,0.01367,-0.0586,0.1832,0.9998,airfoil_0001,77.13617463617463
12.0,1.5243,0.02372,0.01801,-0.0513,0.1448,0.9998,airfoil_0001,64.26222596964587
13.0,1.5559,0.02941,0.02366,-0.045,0.1151,0.9998,airfoil_0001,52.90377422645359
14.0,1.5804,0.03647,0.03078,-0.04,0.0957,0.9998,airfoil_0001,43.33424732656978
15.0,1.5937,0.04532,0.03973,-0.0362,0.0813,0.9998,airfoil_0001,35.16548984995587
-5.0,-0.2567,0.00842,0.003,-0.0792,0.9654,0.0591,airfoil_0003,-30.48693586698337
-4.0,-0.1423,0.00733,0.00218,-0.0793,0.9495,0.1294,airfoil_0003,-19.413369713506142
-3.0,-0.0318,0.00644,0.00164,-0.0785,0.9278,0.2408,airfoil_0003,-4.937888198757764
-2.0,0.0805,0.00576,0.00129,-0.078,0.9039,0.3684,airfoil_0003,13.975694444444445
-1.0,0.193,0.00527,0.00112,-0.0775,0.8726,0.4982,airfoil_0003,36.6223908918406
0.0,0.3049,0.00502,0.00108,-0.0767,0.8275,0.6213,airfoil_0003,60.73705179282869
1.0,0.4154,0.00492,0.00114,-0.0755,0.765,0.7285,airfoil_0003,84.4308943089431
2.0,0.5093,0.00524,0.00144,-0.0705,0.5917,0.9468,airfoil_0003,97.19465648854961
3.0,0.6256,0.00629,0.00188,-0.0713,0.4346,0.9999,airfoil_0003,99.45945945945947
4.0,0.7248,0.00789,0.00261,-0.0688,0.24,0.9999,airfoil_0003,91.86311787072243
5.0,0.8243,0.0096,0.00365,-0.0664,0.0975,0.9999,airfoil_0003,85.86458333333334
6.0,0.9269,0.01099,0.00478,-0.0644,0.0486,0.9999,airfoil_0003,84.3403093721565
7.0,1.028,0.01247,0.0062,-0.062,0.0279,0.9999,airfoil_0003,82.43785084202085
8.0,1.1251,0.01425,0.00804,-0.0589,0.0205,0.9999,airfoil_0003,78.95438596491228
9.0,1.2166,0.01638,0.01032,-0.055,0.0161,0.9999,airfoil_0003,74.27350427350427
10.0,1.3028,0.01868,0.01284,-0.0504,0.0132,0.9999,airfoil_0003,69.74304068522484
11.0,1.3696,0.02209,0.0166,-0.043,0.0113,0.9999,airfoil_0003,62.00090538705297
12.0,1.4187,0.0257,0.02053,-0.0335,0.0101,0.9999,airfoil_0003,55.202334630350194
13.0,1.426,0.03282,0.02819,-0.0221,0.0093,0.9999,airfoil_0003,43.44911639244363
14.0,1.4326,0.04133,0.03725,-0.0157,0.0088,0.9999,airfoil_0003,34.66247278006291
15.0,1.4064,0.05607,0.05262,-0.0158,0.0084,0.9999,airfoil_0003,25.082932049224183
-5.0,-0.1988,0.01107,0.00445,-0.0367,0.6081,0.0384,airfoil_0005,-17.95844625112918
-4.0,-0.0903,0.01068,0.00372,-0.0348,0.5185,0.0435,airfoil_0005,-8.455056179775282
-2.0,0.13,0.01033,0.00282,-0.0319,0.3846,0.0583,airfoil_0005,12.584704743465634
-1.0,0.242,0.01018,0.00258,-0.0309,0.3525,0.0698,airfoil_0005,23.772102161100197
0.0,0.3548,0.01014,0.00251,-0.0302,0.331,0.0915,airfoil_0005,34.990138067061146
1.0,0.4539,0.00844,0.00245,-0.0277,0.316,0.6567,airfoil_0005,53.77962085308057
2.0,0.5544,0.00811,0.00284,-0.024,0.3021,0.9073,airfoil_0005,68.36004932182492
3.0,0.6629,0.00862,0.00333,-0.0219,0.2883,0.9698,airfoil_0005,76.90255220417635
4.0,0.8093,0.00935,0.00391,-0.0288,0.273,0.986,airfoil_0005,86.55614973262031
5.0,0.9531,0.00992,0.0044,-0.0354,0.2606,0.9943,airfoil_0005,96.07862903225806
6.0,1.0966,0.01049,0.00495,-0.0422,0.249,0.9999,airfoil_0005,104.53765490943756
7.0,1.1789,0.0111,0.00555,-0.0364,0.2394,0.9999,airfoil_0005,106.2072072072072
8.0,1.262,0.01181,0.00625,-0.0308,0.2291,0.9999,airfoil_0005,106.85859441151567
9.0,1.3502,0.01255,0.00708,-0.0264,0.2201,0.9999,airfoil_0005,107.58565737051794
10.0,1.4399,0.01352,0.00811,-0.0227,0.2081,0.9999,airfoil_0005,106.50147928994082
11.0,1.5228,0.01468,0.00935,-0.0183,0.196,0.9999,airfoil_0005,103.73297002724794
12.0,1.6005,0.01612,0.01087,-0.0136,0.1819,0.9999,airfoil_0005,99.28660049627793
13.0,1.6696,0.01824,0.01306,-0.0089,0.1637,0.9999,airfoil_0005,91.53508771929825
14.0,1.7239,0.02155,0.01649,-0.0039,0.1481,0.9999,airfoil_0005,79.9953596287703
15.0,1.7631,0.02656,0.02166,0.0001,0.1336,0.9999,airfoil_0005,66.38177710843372
-5.0,-0.2125,0.0089,0.00306,-0.0671,0.8299,0.0699,airfoil_0006,-23.876404494382022
-4.0,-0.1011,0.00837,0.00243,-0.0661,0.776,0.0929,airfoil_0006,-12.07885304659498
-3.0,0.0107,0.00801,0.00202,-0.0652,0.7173,0.1318,airfoil_0006,1.3358302122347065
-2.0,0.1218,0.00778,0.00176,-0.0644,0.6535,0.1958,airfoil_0006,15.65552699228792
-1.0,0.2307,0.00728,0.00159,-0.0635,0.5855,0.3651,airfoil_0006,31.689560439560438
0.0,0.3369,0.00675,0.00165,-0.0621,0.5186,0.6412,airfoil_0006,49.91111111111111
1.0,0.4429,0.00671,0.00189,-0.0601,0.4591,0.8164,airfoil_0006,66.0059612518629
2.0,0.5466,0.00695,0.00226,-0.0571,0.4144,0.9463,airfoil_0006,78.64748201438849
3.0,0.6877,0.00755,0.00269,-0.0627,0.3822,0.9903,airfoil_0006,91.08609271523179
4.0,0.8331,0.00808,0.0031,-0.0697,0.3575,0.9999,airfoil_0006,103.10643564356434
5.0,0.9256,0.00857,0.0035,-0.0654,0.3352,0.9999,airfoil_0006,108.0046674445741
6.0,1.0232,0.00908,0.00398,-0.0621,0.3099,0.9999,airfoil_0006,112.68722466960354
7.0,1.1232,0.0098,0.0046,-0.0595,0.2757,0.9999,airfoil_0006,114.61224489795919
8.0,1.2184,0.01098,0.00556,-0.0563,0.2222,0.9999,airfoil_0006,110.96539162112931
9.0,1.3042,0.01272,0.007,-0.0519,0.1592,0.9999,airfoil_0006,102.5314465408805
10.0,1.3752,0.01489,0.00892,-0.0452,0.1059,0.9999,airfoil_0006,92.35728676964405
11.0,1.4332,0.01751,0.0114,-0.037,0.0703,0.9999,airfoil_0006,81.85037121644774
12.0,1.4844,0.02079,0.01469,-0.0294,0.0512,0.9999,airfoil_0006,71.39971139971139
13.0,1.5275,0.02511,0.01912,-0.0229,0.0406,0.9999,airfoil_0006,60.83233771405815
14.0,1.5563,0.03136,0.02557,-0.0178,0.0339,0.9999,airfoil_0006,49.62691326530612
15.0,1.5666,0.04049,0.03497,-0.0149,0.0295,0.9999,airfoil_0006,38.69103482341319
-5.0,-0.5122,0.00976,0.00403,-0.0124,0.7052,0.3125,airfoil_0007,-52.47950819672131
-4.0,-0.4141,0.00938,0.00361,-0.0092,0.6564,0.3444,airfoil_0007,-44.14712153518124
-3.0,-0.3114,0.00914,0.00331,-0.0068,0.6114,0.3735,airfoil_0007,-34.07002188183807
-2.0,-0.2094,0.00895,0.00309,-0.0042,0.5637,0.4091,airfoil_0007,-23.39664804469274
-1.0,-0.1047,0.00885,0.00297,-0.0021,0.523,0.4452,airfoil_0007,-11.830508474576272
0.0,-0.0,0.00887,0.00295,0.0,0.4834,0.4834,airfoil_0007,-0.0
1.0,0.1047,0.00885,0.00297,0.0021,0.4452,0.523,airfoil_0007,11.830508474576272
2.0,0.2095,0.00895,0.00309,0.0042,0.4091,0.5637,airfoil_0007,23.407821229050278
3.0,0.3115,0.00914,0.00331,0.0068,0.3736,0.6115,airfoil_0007,34.08096280087527
4.0,0.4142,0.00938,0.00361,0.0092,0.3444,0.6564,airfoil_0007,44.15778251599148
5.0,0.5124,0.00976,0.00403,0.0124,0.3124,0.7052,airfoil_0007,52.5
6.0,0.6017,0.01022,0.00457,0.0172,0.2818,0.7577,airfoil_0007,58.8747553816047
7.0,0.6937,0.01087,0.00532,0.0213,0.2554,0.8114,airfoil_0007,63.81784728610856
8.0,0.7814,0.01185,0.00636,0.0257,0.2298,0.8621,airfoil_0007,65.94092827004219
9.0,0.8665,0.01298,0.00759,0.0303,0.2078,0.9094,airfoil_0007,66.75654853620955
10.0,0.9391,0.01461,0.00926,0.0366,0.1854,0.9542,airfoil_0007,64.27789185489391
11.0,1.0307,0.01679,0.01143,0.0378,0.1662,0.985,airfoil_0007,61.38773079213818
12.0,1.1436,0.01974,0.01434,0.033,0.1481,0.9956,airfoil_0007,57.93313069908814
13.0,1.2019,0.02301,0.01762,0.0368,0.1336,1.0,airfoil_0007,52.23381138635376
14.0,1.2253,0.02735,0.02198,0.0446,0.1211,1.0,airfoil_0007,44.800731261425966
15.0,1.2573,0.03331,0.02802,0.0479,0.1102,1.0,airfoil_0007,37.74542179525668
-5.0,0.1039,0.01356,0.00943,-0.1306,0.8132,0.0159,airfoil_0002,7.662241887905606
-4.0,0.2145,0.00989,0.00473,-0.1304,0.7609,0.0185,airfoil_0002,21.688574317492417
-3.0,0.3257,0.00874,0.00306,-0.1295,0.6956,0.0233,airfoil_0002,37.265446224256294
-2.0,0.4356,0.00839,0.00224,-0.1285,0.6092,0.0312,airfoil_0002,51.91895113230036
-1.0,0.5446,0.00843,0.00186,-0.1275,0.5127,0.047,airfoil_0002,64.60260972716489
0.0,0.6539,0.00871,0.0018,-0.1268,0.4369,0.0751,airfoil_0002,75.07462686567165
1.0,0.7645,0.00895,0.00198,-0.1264,0.3996,0.1317,airfoil_0002,85.41899441340782
2.0,0.8721,0.00798,0.00251,-0.1261,0.3803,0.8274,airfoil_0002,109.28571428571429
5.0,1.1997,0.00932,0.00391,-0.1241,0.3471,0.9998,airfoil_0002,128.72317596566523
6.0,1.3069,0.00994,0.00459,-0.1233,0.3367,0.9998,airfoil_0002,131.47887323943664
7.0,1.4135,0.01049,0.00521,-0.1225,0.3128,0.9998,airfoil_0002,134.74737845567208
8.0,1.5142,0.01142,0.00602,-0.1207,0.26,0.9998,airfoil_0002,132.59194395796848
9.0,1.5538,0.01676,0.01008,-0.1097,0.0506,0.9998,airfoil_0002,92.70883054892602
10.0,1.5944,0.02042,0.01367,-0.0986,0.0151,0.9998,airfoil_0002,78.08031341821743
11.0,1.6325,0.02454,0.01808,-0.0891,0.012,0.9998,airfoil_0002,66.5240423797881
12.0,1.6492,0.03117,0.02505,-0.0804,0.0102,0.9998,airfoil_0002,52.90984921398781
13.0,1.6434,0.04169,0.03602,-0.0746,0.0095,0.9998,airfoil_0002,39.419525065963064
14.0,1.6213,0.05641,0.05121,-0.0731,0.0089,0.9998,airfoil_0002,28.74135791526325
15.0,1.5859,0.07463,0.06985,-0.0747,0.0083,0.9998,airfoil_0002,21.250167492965296
-5.0,-0.1916,0.00853,0.00281,-0.0797,0.824,0.1124,airfoil_0008,-22.46189917936694
-4.0,-0.0792,0.00804,0.00231,-0.079,0.7813,0.1526,airfoil_0008,-9.850746268656717
-3.0,0.0334,0.00767,0.00196,-0.0784,0.7338,0.2029,airfoil_0008,4.354628422425033
-2.0,0.1454,0.00743,0.00176,-0.0778,0.6842,0.2712,airfoil_0008,19.569313593539704
-1.0,0.2565,0.00728,0.00167,-0.077,0.627,0.3566,airfoil_0008,35.23351648351648
0.0,0.3662,0.00697,0.00171,-0.0762,0.578,0.5233,airfoil_0008,52.539454806312776
1.0,0.4748,0.0068,0.0019,-0.075,0.5362,0.6982,airfoil_0008,69.82352941176471
2.0,0.5806,0.00674,0.00221,-0.0728,0.4984,0.8626,airfoil_0008,86.14243323442136
3.0,0.6927,0.00708,0.00262,-0.0716,0.4627,0.9711,airfoil_0008,97.83898305084745
4.0,0.8427,0.00767,0.00305,-0.0795,0.4218,0.9969,airfoil_0008,109.86962190352021
5.0,0.947,0.00826,0.00348,-0.0777,0.38,0.9998,airfoil_0008,114.64891041162227
6.0,1.0374,0.00909,0.00407,-0.073,0.326,0.9998,airfoil_0008,114.12541254125412
7.0,1.1273,0.01031,0.00499,-0.0687,0.2589,0.9998,airfoil_0008,109.34044616876818
8.0,1.2112,0.0119,0.00624,-0.0635,0.1896,0.9998,airfoil_0008,101.78151260504201
10.0,1.348,0.01596,0.00986,-0.0489,0.0971,0.9998,airfoil_0008,84.46115288220552
11.0,1.4085,0.01864,0.01248,-0.0418,0.0717,0.9998,airfoil_0008,75.56330472103005
12.0,1.4599,0.0222,0.01604,-0.0349,0.0527,0.9998,airfoil_0008,65.76126126126125
13.0,1.4998,0.02704,0.02097,-0.0286,0.0415,0.9998,airfoil_0008,55.46597633136094
14.0,1.5311,0.0333,0.02742,-0.0236,0.0357,0.9998,airfoil_0008,45.97897897897897
15.0,1.547,0.04186,0.03621,-0.0202,0.0319,0.9998,airfoil_0008,36.95652173913043
-5.0,-0.4179,0.00826,0.00293,-0.036,0.9005,0.1919,airfoil_0012,-50.59322033898305
-4.0,-0.3086,0.00756,0.00236,-0.0347,0.8573,0.2557,airfoil_0012,-40.820105820105816
-3.0,-0.1972,0.00707,0.00196,-0.0339,0.8121,0.3236,airfoil_0012,-27.892503536067892
-2.0,-0.0854,0.0067,0.0017,-0.0331,0.7609,0.403,airfoil_0012,-12.746268656716419
-1.0,0.0259,0.00653,0.00154,-0.0322,0.6929,0.4774,airfoil_0012,3.9663093415007653
0.0,0.1376,0.00645,0.00152,-0.0314,0.6314,0.5597,airfoil_0012,21.333333333333332
1.0,0.2479,0.00648,0.00161,-0.0304,0.5625,0.6531,airfoil_0012,38.25617283950618
2.0,0.3572,0.00662,0.00181,-0.0291,0.4911,0.7439,airfoil_0012,53.95770392749245
3.0,0.4641,0.0069,0.00216,-0.0272,0.4191,0.8436,airfoil_0012,67.26086956521739
4.0,0.5677,0.00749,0.00267,-0.0245,0.343,0.9236,airfoil_0012,75.79439252336448
5.0,0.676,0.00836,0.00331,-0.0229,0.2684,0.9706,airfoil_0012,80.86124401913877
6.0,0.811,0.00964,0.00421,-0.0278,0.1911,0.9896,airfoil_0012,84.1286307053942
7.0,0.9485,0.01108,0.00528,-0.0336,0.1253,0.9988,airfoil_0012,85.60469314079423
8.0,1.0281,0.01231,0.00633,-0.0272,0.0901,0.9999,airfoil_0012,83.5174654752234
9.0,1.1032,0.01363,0.00755,-0.0199,0.0699,0.9999,airfoil_0012,80.9391049156273
10.0,1.1848,0.0151,0.00902,-0.0142,0.057,0.9999,airfoil_0012,78.4635761589404
11.0,1.2557,0.01687,0.01083,-0.0071,0.0463,0.9999,airfoil_0012,74.43390634262003
12.0,1.3193,0.01929,0.01331,-0.0001,0.0392,0.9999,airfoil_0012,68.39294971487817
13.0,1.3759,0.02245,0.01663,0.0063,0.0349,0.9999,airfoil_0012,61.28730512249442
14.0,1.421,0.02691,0.02132,0.0119,0.0319,0.9999,airfoil_0012,52.80564845782237
15.0,1.4457,0.03389,0.02854,0.0159,0.0295,0.9999,airfoil_0012,42.65860135733254
-4.0,-0.4645,0.00779,0.00242,0.0013,0.9904,0.1463,airfoil_0010,-59.62772785622593
-3.0,-0.3265,0.00646,0.00176,-0.0045,0.9765,0.307,airfoil_0010,-50.54179566563468
-2.0,-0.2112,0.00551,0.00133,-0.0047,0.9346,0.4683,airfoil_0010,-38.330308529945555
-1.0,-0.106,0.00492,0.00107,-0.0023,0.859,0.6223,airfoil_0010,-21.54471544715447
0.0,0.0001,0.00482,0.00097,-0.0,0.7408,0.7407,airfoil_0010,0.020746887966804982
1.0,0.1061,0.00492,0.00107,0.0022,0.6222,0.8589,airfoil_0010,21.565040650406505
2.0,0.2113,0.00551,0.00133,0.0046,0.4685,0.9346,airfoil_0010,38.34845735027223
3.0,0.3265,0.00646,0.00176,0.0045,0.3073,0.9765,airfoil_0010,50.54179566563468
4.0,0.4645,0.00779,0.00242,-0.0013,0.1465,0.9904,airfoil_0010,59.62772785622593
